,stationId,utc_time,PM2.5,PM10,NO2,CO,O3,SO2
84,GN0,2018-03-31 11:00:00,7.8,6.4,40.7,,,
85,KF1,2018-03-31 11:00:00,4.9,5.7,,,,
86,CD9,2018-03-31 11:00:00,10.7,10.5,35.9,,,
87,CT3,2018-03-31 11:00:00,,15.0,20.9,,,
88,CT2,2018-03-31 11:00:00,10.0,,,,,
89,BX9,2018-03-31 11:00:00,4.8,,,,,
90,BX1,2018-03-31 11:00:00,,5.0,7.9,,,
91,TH4,2018-03-31 11:00:00,8.6,20.2,50.4,,,
92,ST5,2018-03-31 11:00:00,8.0,7.0,17.3,,,
93,RB7,2018-03-31 11:00:00,,5.0,15.9,,,
94,TD5,2018-03-31 11:00:00,11.8,,,,,
95,CD1,2018-03-31 12:00:00,10.2,13.7,47.5,,,
96,BL0,2018-03-31 12:00:00,6.6,8.8,43.6,,,
97,GR4,2018-03-31 12:00:00,3.8,10.4,5.3,,,
98,MY7,2018-03-31 12:00:00,8.5,8.3,,,,
99,HV1,2018-03-31 12:00:00,4.5,4.8,15.4,,,
100,GN3,2018-03-31 12:00:00,6.9,8.1,29.6,,,
101,GR9,2018-03-31 12:00:00,6.4,7.0,25.1,,,
102,LW2,2018-03-31 12:00:00,14.0,14.1,34.4,,,
103,GN0,2018-03-31 12:00:00,6.5,7.2,32.0,,,
104,KF1,2018-03-31 12:00:00,5.9,6.8,,,,
105,CD9,2018-03-31 12:00:00,10.2,10.6,30.6,,,
106,CT3,2018-03-31 12:00:00,,13.0,21.0,,,
107,CT2,2018-03-31 12:00:00,7.0,,,,,
108,BX9,2018-03-31 12:00:00,7.7,,,,,
109,BX1,2018-03-31 12:00:00,,5.2,6.6,,,
110,TH4,2018-03-31 12:00:00,10.1,16.1,47.2,,,
111,ST5,2018-03-31 12:00:00,7.0,7.0,17.2,,,
112,RB7,2018-03-31 12:00:00,,10.0,20.4,,,
113,TD5,2018-03-31 12:00:00,10.2,,,,,
114,CD1,2018-03-31 13:00:00,13.2,13.8,42.1,,,
115,BL0,2018-03-31 13:00:00,8.7,10.9,43.4,,,
116,GR4,2018-03-31 13:00:00,6.2,6.9,4.8,,,
117,MY7,2018-03-31 13:00:00,8.2,11.5,,,,
118,HV1,2018-03-31 13:00:00,6.5,6.6,14.7,,,
119,GN3,2018-03-31 13:00:00,7.1,7.6,25.3,,,
120,GR9,2018-03-31 13:00:00,5.4,10.2,20.5,,,
121,LW2,2018-03-31 13:00:00,19.7,17.1,31.1,,,
122,GN0,2018-03-31 13:00:00,9.3,11.0,30.3,,,
123,KF1,2018-03-31 13:00:00,9.1,10.4,,,,
124,CD9,2018-03-31 13:00:00,13.6,13.6,26.3,,,
125,CT3,2018-03-31 13:00:00,,16.6,18.4,,,
126,CT2,2018-03-31 13:00:00,11.0,,,,,
127,BX9,2018-03-31 13:00:00,7.2,,,,,
128,BX1,2018-03-31 13:00:00,,6.5,5.8,,,
129,TH4,2018-03-31 13:00:00,8.4,18.8,40.1,,,
130,ST5,2018-03-31 13:00:00,9.0,12.0,13.4,,,
131,RB7,2018-03-31 13:00:00,,5.8,18.3,,,
132,TD5,2018-03-31 13:00:00,11.6,,,,,
133,CD1,2018-03-31 14:00:00,12.1,12.4,32.4,,,
134,BL0,2018-03-31 14:00:00,7.6,12.6,38.8,,,
135,GR4,2018-03-31 14:00:00,14.3,7.3,2.2,,,
136,MY7,2018-03-31 14:00:00,12.1,13.6,,,,
137,HV1,2018-03-31 14:00:00,7.8,8.6,11.9,,,
138,GN3,2018-03-31 14:00:00,12.0,14.3,24.3,,,
139,GR9,2018-03-31 14:00:00,8.1,11.8,17.6,,,
140,LW2,2018-03-31 14:00:00,17.6,18.2,25.0,,,
141,GN0,2018-03-31 14:00:00,14.8,15.5,21.1,,,
142,KF1,2018-03-31 14:00:00,9.9,11.1,,,,
143,CD9,2018-03-31 14:00:00,14.3,14.1,24.9,,,
144,CT3,2018-03-31 14:00:00,,18.6,16.4,,,
145,CT2,2018-03-31 14:00:00,14.0,,,,,
146,BX9,2018-03-31 14:00:00,11.0,,,,,
147,BX1,2018-03-31 14:00:00,,9.2,3.5,,,
148,TH4,2018-03-31 14:00:00,13.9,21.4,32.8,,,
149,ST5,2018-03-31 14:00:00,9.0,14.0,10.2,,,
150,RB7,2018-03-31 14:00:00,,10.4,14.4,,,
151,TD5,2018-03-31 14:00:00,10.3,,,,,
152,CD1,2018-03-31 15:00:00,12.3,13.5,25.9,,,
153,BL0,2018-03-31 15:00:00,10.2,13.1,35.8,,,
154,GR4,2018-03-31 15:00:00,8.7,17.2,1.4,,,
155,MY7,2018-03-31 15:00:00,7.8,12.6,,,,
156,HV1,2018-03-31 15:00:00,8.1,8.3,9.2,,,
157,GN3,2018-03-31 15:00:00,12.2,16.4,21.6,,,
158,GR9,2018-03-31 15:00:00,8.2,12.1,16.0,,,
159,LW2,2018-03-31 15:00:00,16.8,15.7,22.6,,,
160,GN0,2018-03-31 15:00:00,13.7,11.3,16.6,,,
161,KF1,2018-03-31 15:00:00,8.7,9.6,,,,
162,CD9,2018-03-31 15:00:00,7.1,8.8,24.0,,,
163,CT3,2018-03-31 15:00:00,,18.4,18.2,,,
164,CT2,2018-03-31 15:00:00,11.0,,,,,
165,BX9,2018-03-31 15:00:00,12.6,,,,,
166,BX1,2018-03-31 15:00:00,,11.2,-0.2,,,
167,TH4,2018-03-31 15:00:00,12.0,17.4,32.0,,,
168,ST5,2018-03-31 15:00:00,9.0,10.0,9.4,,,
169,RB7,2018-03-31 15:00:00,,10.6,11.3,,,
170,TD5,2018-03-31 15:00:00,8.8,,,,,
171,CD1,2018-03-31 16:00:00,11.2,13.7,23.5,,,
172,BL0,2018-03-31 16:00:00,7.7,13.2,32.3,,,
173,GR4,2018-03-31 16:00:00,12.8,12.5,0.9,,,
174,MY7,2018-03-31 16:00:00,8.3,11.6,,,,
175,HV1,2018-03-31 16:00:00,5.2,6.6,7.7,,,
176,GN3,2018-03-31 16:00:00,10.8,14.2,15.5,,,
177,GR9,2018-03-31 16:00:00,10.1,12.5,13.3,,,
178,LW2,2018-03-31 16:00:00,12.1,14.1,21.4,,,
179,GN0,2018-03-31 16:00:00,14.1,13.1,13.8,,,
180,KF1,2018-03-31 16:00:00,8.9,10.2,,,,
181,CD9,2018-03-31 16:00:00,8.6,9.8,19.3,,,
182,CT3,2018-03-31 16:00:00,,19.2,17.7,,,
183,CT2,2018-03-31 16:00:00,10.0,,,,,
184,BX9,2018-03-31 16:00:00,12.6,,,,,
185,BX1,2018-03-31 16:00:00,,12.6,-0.3,,,
186,TH4,2018-03-31 16:00:00,13.6,22.6,28.7,,,
187,ST5,2018-03-31 16:00:00,9.0,11.0,7.4,,,
188,RB7,2018-03-31 16:00:00,,8.4,9.6,,,
189,TD5,2018-03-31 16:00:00,8.6,,,,,
190,CD1,2018-03-31 17:00:00,10.2,11.2,17.0,,,
191,BL0,2018-03-31 17:00:00,9.1,11.4,29.5,,,
192,GR4,2018-03-31 17:00:00,,14.4,2.8,,,
193,MY7,2018-03-31 17:00:00,10.3,11.2,,,,
194,HV1,2018-03-31 17:00:00,6.8,6.7,7.2,,,
195,GN3,2018-03-31 17:00:00,9.9,12.7,14.1,,,
196,GR9,2018-03-31 17:00:00,7.8,11.3,13.1,,,
197,LW2,2018-03-31 17:00:00,8.0,13.6,19.5,,,
198,GN0,2018-03-31 17:00:00,14.1,13.0,12.0,,,
199,KF1,2018-03-31 17:00:00,9.1,10.2,,,,
200,CD9,2018-03-31 17:00:00,7.4,8.3,19.1,,,
201,CT3,2018-03-31 17:00:00,,9.2,13.6,,,
202,CT2,2018-03-31 17:00:00,24.0,,,,,
203,BX9,2018-03-31 17:00:00,11.4,,,,,
204,BX1,2018-03-31 17:00:00,,9.7,-3.1,,,
205,TH4,2018-03-31 17:00:00,10.2,17.5,22.1,,,
206,ST5,2018-03-31 17:00:00,12.0,10.0,6.0,,,
207,RB7,2018-03-31 17:00:00,,11.0,9.2,,,
208,TD5,2018-03-31 17:00:00,8.4,,,,,
209,CD1,2018-03-31 18:00:00,11.0,10.9,15.3,,,
210,BL0,2018-03-31 18:00:00,9.9,12.7,28.1,,,
211,GR4,2018-03-31 18:00:00,10.8,9.7,-1.0,,,
212,MY7,2018-03-31 18:00:00,8.7,12.9,,,,
213,HV1,2018-03-31 18:00:00,12.0,11.7,7.7,,,
214,GN3,2018-03-31 18:00:00,10.7,11.4,12.7,,,
215,GR9,2018-03-31 18:00:00,9.0,11.3,11.1,,,
216,LW2,2018-03-31 18:00:00,5.7,12.6,18.4,,,
217,GN0,2018-03-31 18:00:00,10.1,15.5,11.9,,,
218,KF1,2018-03-31 18:00:00,8.9,10.4,,,,
219,CD9,2018-03-31 18:00:00,8.3,9.3,15.4,,,
220,CT3,2018-03-31 18:00:00,,13.6,13.6,,,
221,CT2,2018-03-31 18:00:00,10.0,,,,,
222,BX9,2018-03-31 18:00:00,11.3,,,,,
223,BX1,2018-03-31 18:00:00,,13.1,-0.8,,,
224,TH4,2018-03-31 18:00:00,10.1,17.8,22.3,,,
225,ST5,2018-03-31 18:00:00,7.0,8.0,4.9,,,
226,RB7,2018-03-31 18:00:00,,15.2,11.7,,,
227,TD5,2018-03-31 18:00:00,9.1,,,,,
228,CD1,2018-03-31 19:00:00,12.1,12.3,13.4,,,
229,BL0,2018-03-31 19:00:00,13.4,12.9,26.4,,,
230,GR4,2018-03-31 19:00:00,15.1,13.1,-1.4,,,
231,MY7,2018-03-31 19:00:00,9.0,13.4,,,,
232,HV1,2018-03-31 19:00:00,9.4,11.2,6.8,,,
233,GN3,2018-03-31 19:00:00,12.0,16.1,16.4,,,
234,GR9,2018-03-31 19:00:00,8.9,14.6,10.6,,,
235,LW2,2018-03-31 19:00:00,8.6,15.2,18.8,,,
236,GN0,2018-03-31 19:00:00,15.6,18.5,10.7,,,
237,KF1,2018-03-31 19:00:00,10.6,12.1,,,,
238,CD9,2018-03-31 19:00:00,11.2,11.9,18.4,,,
239,CT3,2018-03-31 19:00:00,,18.6,12.9,,,
240,CT2,2018-03-31 19:00:00,11.0,,,,,
241,BX9,2018-03-31 19:00:00,11.6,,,,,
242,BX1,2018-03-31 19:00:00,,14.2,-1.4,,,
243,TH4,2018-03-31 19:00:00,12.2,18.7,21.4,,,
244,ST5,2018-03-31 19:00:00,6.0,10.0,5.5,,,
245,RB7,2018-03-31 19:00:00,,12.4,9.4,,,
246,TD5,2018-03-31 19:00:00,11.2,,,,,
247,CD1,2018-03-31 20:00:00,11.2,13.6,17.6,,,
248,BL0,2018-03-31 20:00:00,7.1,12.4,25.1,,,
249,GR4,2018-03-31 20:00:00,9.8,12.5,-1.1,,,
250,MY7,2018-03-31 20:00:00,11.4,11.3,,,,
251,HV1,2018-03-31 20:00:00,9.2,10.4,8.3,,,
252,GN3,2018-03-31 20:00:00,12.2,15.2,14.8,,,
253,GR9,2018-03-31 20:00:00,9.9,14.3,11.3,,,
254,LW2,2018-03-31 20:00:00,15.4,17.9,28.7,,,
255,GN0,2018-03-31 20:00:00,13.2,15.1,13.4,,,
256,KF1,2018-03-31 20:00:00,10.5,11.9,,,,
257,CD9,2018-03-31 20:00:00,12.6,12.8,14.9,,,
258,CT3,2018-03-31 20:00:00,,17.0,12.0,,,
259,CT2,2018-03-31 20:00:00,16.0,,,,,
260,BX9,2018-03-31 20:00:00,13.9,,,,,
261,BX1,2018-03-31 20:00:00,,11.7,-2.0,,,
262,TH4,2018-03-31 20:00:00,13.0,22.0,28.8,,,
263,ST5,2018-03-31 20:00:00,10.0,9.0,7.1,,,
264,RB7,2018-03-31 20:00:00,,8.6,10.3,,,
265,TD5,2018-03-31 20:00:00,12.4,,,,,
266,CD1,2018-03-31 21:00:00,9.7,13.2,25.2,,,
267,BL0,2018-03-31 21:00:00,9.7,11.5,33.3,,,
268,GR4,2018-03-31 21:00:00,13.0,12.3,-0.1,,,
269,MY7,2018-03-31 21:00:00,11.5,9.8,,,,
270,HV1,2018-03-31 21:00:00,10.0,10.8,9.2,,,
271,GN3,2018-03-31 21:00:00,12.5,14.6,17.4,,,
272,GR9,2018-03-31 21:00:00,8.1,11.2,14.3,,,
273,LW2,2018-03-31 21:00:00,12.3,14.5,29.7,,,
274,GN0,2018-03-31 21:00:00,13.1,18.9,29.9,,,
275,KF1,2018-03-31 21:00:00,9.3,11.0,,,,
276,CD9,2018-03-31 21:00:00,7.1,8.2,17.5,,,
277,CT3,2018-03-31 21:00:00,,16.2,12.3,,,
278,CT2,2018-03-31 21:00:00,12.0,,,,,
279,BX9,2018-03-31 21:00:00,13.6,,,,,
280,BX1,2018-03-31 21:00:00,,12.0,-0.8,,,
281,TH4,2018-03-31 21:00:00,9.2,19.7,30.3,,,
282,ST5,2018-03-31 21:00:00,10.0,13.0,8.9,,,
283,RB7,2018-03-31 21:00:00,,12.0,12.9,,,
284,TD5,2018-03-31 21:00:00,10.0,,,,,
285,CD1,2018-03-31 22:00:00,11.1,12.8,33.5,,,
286,BL0,2018-03-31 22:00:00,6.7,11.2,31.2,,,
287,GR4,2018-03-31 22:00:00,10.1,9.7,0.7,,,
288,MY7,2018-03-31 22:00:00,8.0,12.9,,,,
289,HV1,2018-03-31 22:00:00,7.7,9.2,10.7,,,
290,GN3,2018-03-31 22:00:00,10.7,12.2,25.9,,,
291,GR9,2018-03-31 22:00:00,6.6,12.2,17.4,,,
292,LW2,2018-03-31 22:00:00,10.2,14.1,36.3,,,
293,GN0,2018-03-31 22:00:00,11.9,13.1,31.8,,,
294,KF1,2018-03-31 22:00:00,8.8,10.3,,,,
295,CD9,2018-03-31 22:00:00,12.0,13.2,29.8,,,
296,CT3,2018-03-31 22:00:00,,14.4,13.7,,,
297,CT2,2018-03-31 22:00:00,11.0,,,,,
298,BX9,2018-03-31 22:00:00,11.1,,,,,
299,BX1,2018-03-31 22:00:00,,9.0,2.9,,,
300,TH4,2018-03-31 22:00:00,11.5,18.4,34.2,,,
301,ST5,2018-03-31 22:00:00,7.0,10.0,10.8,,,
302,RB7,2018-03-31 22:00:00,,12.2,13.4,,,
303,TD5,2018-03-31 22:00:00,9.6,,,,,
304,CD1,2018-03-31 23:00:00,11.0,14.8,37.7,,,
305,BL0,2018-03-31 23:00:00,7.3,12.1,38.6,,,
306,GR4,2018-03-31 23:00:00,9.8,10.5,1.9,,,
307,MY7,2018-03-31 23:00:00,5.7,12.5,,,,
308,HV1,2018-03-31 23:00:00,10.9,11.0,9.4,,,
309,GN3,2018-03-31 23:00:00,10.3,11.5,21.6,,,
310,GR9,2018-03-31 23:00:00,8.2,13.3,19.6,,,
311,LW2,2018-03-31 23:00:00,12.0,11.4,39.1,,,
312,GN0,2018-03-31 23:00:00,9.4,17.2,39.6,,,
313,KF1,2018-03-31 23:00:00,9.0,10.6,,,,
314,CD9,2018-03-31 23:00:00,12.0,12.8,23.7,,,
315,CT3,2018-03-31 23:00:00,,23.6,16.7,,,
316,CT2,2018-03-31 23:00:00,9.0,,,,,
317,BX9,2018-03-31 23:00:00,12.4,,,,,
318,BX1,2018-03-31 23:00:00,,10.3,4.7,,,
319,TH4,2018-03-31 23:00:00,12.7,19.0,41.1,,,
320,ST5,2018-03-31 23:00:00,12.0,13.0,13.8,,,
321,RB7,2018-03-31 23:00:00,,10.4,11.7,,,
322,TD5,2018-03-31 23:00:00,8.7,,,,,
323,CD1,2018-04-01 00:00:00,10.9,15.3,44.4,,,
324,BL0,2018-04-01 00:00:00,7.3,9.5,36.7,,,
325,GR4,2018-04-01 00:00:00,14.8,8.6,3.6,,,
326,MY7,2018-04-01 00:00:00,11.6,12.3,,,,
327,HV1,2018-04-01 00:00:00,7.8,9.0,9.5,,,
328,GN3,2018-04-01 00:00:00,10.7,13.2,21.6,,,
329,GR9,2018-04-01 00:00:00,7.5,14.5,19.4,,,
330,LW2,2018-04-01 00:00:00,12.8,12.6,41.5,,,
331,GN0,2018-04-01 00:00:00,12.0,18.6,42.8,,,
332,KF1,2018-04-01 00:00:00,8.2,10.0,,,,
333,CD9,2018-04-01 00:00:00,10.8,12.8,37.7,,,
334,CT3,2018-04-01 00:00:00,,13.6,16.0,,,
335,CT2,2018-04-01 00:00:00,11.0,,,,,
336,BX9,2018-04-01 00:00:00,9.2,,,,,
337,BX1,2018-04-01 00:00:00,,9.6,2.1,,,
338,TH4,2018-04-01 00:00:00,11.6,22.8,48.8,,,
339,ST5,2018-04-01 00:00:00,12.0,15.0,12.2,,,
340,RB7,2018-04-01 00:00:00,,10.0,14.9,,,
341,TD5,2018-04-01 00:00:00,7.2,,,,,
342,CD1,2018-04-01 01:00:00,10.6,13.5,49.0,,,
343,BL0,2018-04-01 01:00:00,6.9,11.7,42.5,,,
344,GR4,2018-04-01 01:00:00,6.1,14.7,5.5,,,
345,MY7,2018-04-01 01:00:00,8.8,12.4,,,,
346,HV1,2018-04-01 01:00:00,15.6,16.2,11.8,,,
347,GN3,2018-04-01 01:00:00,11.5,13.4,23.2,,,
348,GR9,2018-04-01 01:00:00,10.4,16.7,23.7,,,
349,LW2,2018-04-01 01:00:00,6.8,14.2,43.3,,,
350,GN0,2018-04-01 01:00:00,11.8,22.8,45.1,,,
351,KF1,2018-04-01 01:00:00,6.9,8.3,,,,
352,CD9,2018-04-01 01:00:00,12.1,14.7,38.9,,,
353,CT3,2018-04-01 01:00:00,,18.2,15.4,,,
354,CT2,2018-04-01 01:00:00,8.0,,,,,
355,BX9,2018-04-01 01:00:00,12.2,,,,,
356,BX1,2018-04-01 01:00:00,,11.8,5.0,,,
357,TH4,2018-04-01 01:00:00,11.4,23.8,53.0,,,
358,ST5,2018-04-01 01:00:00,9.0,10.0,11.2,,,
359,RB7,2018-04-01 01:00:00,,8.0,15.3,,,
360,TD5,2018-04-01 01:00:00,7.5,,,,,
361,CD1,2018-04-01 02:00:00,11.4,18.5,60.0,,,
362,BL0,2018-04-01 02:00:00,6.8,9.8,35.0,,,
363,GR4,2018-04-01 02:00:00,8.3,9.1,5.4,,,
364,MY7,2018-04-01 02:00:00,8.7,9.7,,,,
365,HV1,2018-04-01 02:00:00,7.1,10.4,13.9,,,
366,GN3,2018-04-01 02:00:00,11.7,14.0,25.8,,,
367,GR9,2018-04-01 02:00:00,11.3,17.5,30.4,,,
368,LW2,2018-04-01 02:00:00,13.4,15.6,43.3,,,
369,GN0,2018-04-01 02:00:00,11.9,18.7,52.9,,,
370,KF1,2018-04-01 02:00:00,6.7,8.2,,,,
371,CD9,2018-04-01 02:00:00,13.8,15.2,45.5,,,
372,CT3,2018-04-01 02:00:00,,18.8,14.7,,,
373,CT2,2018-04-01 02:00:00,12.0,,,,,
374,BX9,2018-04-01 02:00:00,9.8,,,,,
375,BX1,2018-04-01 02:00:00,,11.1,4.6,,,
376,TH4,2018-04-01 02:00:00,11.7,23.0,52.4,,,
377,ST5,2018-04-01 02:00:00,12.0,10.0,13.5,,,
378,RB7,2018-04-01 02:00:00,,6.2,13.6,,,
379,TD5,2018-04-01 02:00:00,7.9,,,,,
380,CD1,2018-04-01 03:00:00,13.8,16.0,65.3,,,
381,BL0,2018-04-01 03:00:00,7.1,11.9,34.4,,,
382,GR4,2018-04-01 03:00:00,11.7,9.9,7.2,,,
383,MY7,2018-04-01 03:00:00,8.0,11.1,,,,
384,HV1,2018-04-01 03:00:00,8.7,11.1,17.4,,,
385,GN3,2018-04-01 03:00:00,10.2,15.7,40.6,,,
386,GR9,2018-04-01 03:00:00,7.5,16.1,30.5,,,
387,LW2,2018-04-01 03:00:00,10.7,10.3,46.1,,,
388,GN0,2018-04-01 03:00:00,12.8,14.2,32.5,,,
389,KF1,2018-04-01 03:00:00,6.5,7.9,,,,
390,CD9,2018-04-01 03:00:00,10.9,13.0,47.5,,,
391,CT3,2018-04-01 03:00:00,,17.0,21.0,,,
392,CT2,2018-04-01 03:00:00,9.0,,,,,
393,BX9,2018-04-01 03:00:00,10.8,,,,,
394,BX1,2018-04-01 03:00:00,,11.2,4.7,,,
395,TH4,2018-04-01 03:00:00,10.7,24.2,65.7,,,
396,ST5,2018-04-01 03:00:00,9.0,7.0,13.8,,,
397,RB7,2018-04-01 03:00:00,,6.0,18.8,,,
398,TD5,2018-04-01 03:00:00,9.1,,,,,
399,CD1,2018-04-01 04:00:00,10.8,11.7,51.6,,,
400,BL0,2018-04-01 04:00:00,10.9,12.1,36.5,,,
401,GR4,2018-04-01 04:00:00,8.0,12.2,10.9,,,
402,MY7,2018-04-01 04:00:00,10.0,12.9,,,,
403,HV1,2018-04-01 04:00:00,8.2,13.8,35.1,,,
404,GN3,2018-04-01 04:00:00,11.5,16.0,39.5,,,
405,GR9,2018-04-01 04:00:00,10.1,15.9,35.8,,,
406,LW2,2018-04-01 04:00:00,10.2,10.7,34.8,,,
407,GN0,2018-04-01 04:00:00,11.9,11.1,27.2,,,
408,KF1,2018-04-01 04:00:00,6.0,7.6,,,,
409,CD9,2018-04-01 04:00:00,13.7,15.6,58.7,,,
410,CT3,2018-04-01 04:00:00,,15.2,26.0,,,
411,CT2,2018-04-01 04:00:00,10.0,,,,,
412,BX9,2018-04-01 04:00:00,9.9,,,,,
413,BX1,2018-04-01 04:00:00,,12.7,7.9,,,
414,TH4,2018-04-01 04:00:00,12.4,20.3,71.4,,,
415,ST5,2018-04-01 04:00:00,8.0,12.0,15.0,,,
416,RB7,2018-04-01 04:00:00,,9.8,20.1,,,
417,TD5,2018-04-01 04:00:00,5.9,,,,,
418,CD1,2018-04-01 05:00:00,10.1,12.3,48.9,,,
419,BL0,2018-04-01 05:00:00,5.2,8.0,34.2,,,
420,GR4,2018-04-01 05:00:00,10.9,13.6,12.1,,,
421,MY7,2018-04-01 05:00:00,13.2,11.9,,,,
422,HV1,2018-04-01 05:00:00,11.6,15.3,37.7,,,
423,GN3,2018-04-01 05:00:00,11.1,16.7,46.4,,,
424,GR9,2018-04-01 05:00:00,10.0,17.8,42.9,,,
425,LW2,2018-04-01 05:00:00,12.0,10.4,33.9,,,
426,GN0,2018-04-01 05:00:00,9.8,14.8,30.2,,,
427,KF1,2018-04-01 05:00:00,6.5,8.1,,,,
428,CD9,2018-04-01 05:00:00,12.7,16.8,81.3,,,
429,CT3,2018-04-01 05:00:00,,15.8,31.5,,,
430,CT2,2018-04-01 05:00:00,11.0,,,,,
