stationId,utc_time,PM2.5,PM10,NO2,CO,O3,SO2
CT3,2018-03-31 13:00:00,,16.6,18.4,,,
CT2,2018-03-31 13:00:00,11.0,,,,,
BX9,2018-03-31 13:00:00,7.2,,,,,
BX1,2018-03-31 13:00:00,,6.5,5.8,,,
TH4,2018-03-31 13:00:00,8.4,18.8,40.1,,,
ST5,2018-03-31 13:00:00,9.0,12.0,13.4,,,
RB7,2018-03-31 13:00:00,,5.8,18.3,,,
TD5,2018-03-31 13:00:00,11.6,,,,,
CD1,2018-03-31 14:00:00,12.1,12.4,32.4,,,
BL0,2018-03-31 14:00:00,7.6,12.6,38.8,,,
GR4,2018-03-31 14:00:00,14.3,7.3,2.2,,,
MY7,2018-03-31 14:00:00,12.1,13.6,,,,
HV1,2018-03-31 14:00:00,7.8,8.6,11.9,,,
GN3,2018-03-31 14:00:00,12.0,14.3,24.3,,,
GR9,2018-03-31 14:00:00,8.1,11.8,17.6,,,
LW2,2018-03-31 14:00:00,17.6,18.2,25.0,,,
GN0,2018-03-31 14:00:00,14.8,15.5,21.1,,,
KF1,2018-03-31 14:00:00,9.9,11.1,,,,
CD9,2018-03-31 14:00:00,14.3,14.1,24.9,,,
CT3,2018-03-31 14:00:00,,18.6,16.4,,,
CT2,2018-03-31 14:00:00,14.0,,,,,
BX9,2018-03-31 14:00:00,11.0,,,,,
BX1,2018-03-31 14:00:00,,9.2,3.5,,,
TH4,2018-03-31 14:00:00,13.9,21.4,32.8,,,
ST5,2018-03-31 14:00:00,9.0,14.0,10.2,,,
RB7,2018-03-31 14:00:00,,10.4,14.4,,,
TD5,2018-03-31 14:00:00,10.3,,,,,
CD1,2018-03-31 15:00:00,12.3,13.5,25.9,,,
BL0,2018-03-31 15:00:00,10.2,13.1,35.8,,,
GR4,2018-03-31 15:00:00,8.7,17.2,1.4,,,
MY7,2018-03-31 15:00:00,7.8,12.6,,,,
HV1,2018-03-31 15:00:00,8.1,8.3,9.2,,,
GN3,2018-03-31 15:00:00,12.2,16.4,21.6,,,
GR9,2018-03-31 15:00:00,8.2,12.1,16.0,,,
LW2,2018-03-31 15:00:00,16.8,15.7,22.6,,,
GN0,2018-03-31 15:00:00,13.7,11.3,16.6,,,
KF1,2018-03-31 15:00:00,8.7,9.6,,,,
CD9,2018-03-31 15:00:00,7.1,8.8,24.0,,,
CT3,2018-03-31 15:00:00,,18.4,18.2,,,
CT2,2018-03-31 15:00:00,11.0,,,,,
BX9,2018-03-31 15:00:00,12.6,,,,,
BX1,2018-03-31 15:00:00,,11.2,-0.2,,,
TH4,2018-03-31 15:00:00,12.0,17.4,32.0,,,
ST5,2018-03-31 15:00:00,9.0,10.0,9.4,,,
RB7,2018-03-31 15:00:00,,10.6,11.3,,,
TD5,2018-03-31 15:00:00,8.8,,,,,
CD1,2018-03-31 16:00:00,11.2,13.7,23.5,,,
BL0,2018-03-31 16:00:00,7.7,13.2,32.3,,,
GR4,2018-03-31 16:00:00,12.8,12.5,0.9,,,
MY7,2018-03-31 16:00:00,8.3,11.6,,,,
HV1,2018-03-31 16:00:00,5.2,6.6,7.7,,,
GN3,2018-03-31 16:00:00,10.8,14.2,15.5,,,
GR9,2018-03-31 16:00:00,10.1,12.5,13.3,,,
LW2,2018-03-31 16:00:00,12.1,14.1,21.4,,,
GN0,2018-03-31 16:00:00,14.1,13.1,13.8,,,
KF1,2018-03-31 16:00:00,8.9,10.2,,,,
CD9,2018-03-31 16:00:00,8.6,9.8,19.3,,,
CT3,2018-03-31 16:00:00,,19.2,17.7,,,
CT2,2018-03-31 16:00:00,10.0,,,,,
BX9,2018-03-31 16:00:00,12.6,,,,,
BX1,2018-03-31 16:00:00,,12.6,-0.3,,,
TH4,2018-03-31 16:00:00,13.6,22.6,28.7,,,
ST5,2018-03-31 16:00:00,9.0,11.0,7.4,,,
RB7,2018-03-31 16:00:00,,8.4,9.6,,,
TD5,2018-03-31 16:00:00,8.6,,,,,
CD1,2018-03-31 17:00:00,10.2,11.2,17.0,,,
BL0,2018-03-31 17:00:00,9.1,11.4,29.5,,,
GR4,2018-03-31 17:00:00,,14.4,2.8,,,
MY7,2018-03-31 17:00:00,10.3,11.2,,,,
HV1,2018-03-31 17:00:00,6.8,6.7,7.2,,,
GN3,2018-03-31 17:00:00,9.9,12.7,14.1,,,
GR9,2018-03-31 17:00:00,7.8,11.3,13.1,,,
LW2,2018-03-31 17:00:00,8.0,13.6,19.5,,,
GN0,2018-03-31 17:00:00,14.1,13.0,12.0,,,
KF1,2018-03-31 17:00:00,9.1,10.2,,,,
CD9,2018-03-31 17:00:00,7.4,8.3,19.1,,,
CT3,2018-03-31 17:00:00,,9.2,13.6,,,
CT2,2018-03-31 17:00:00,24.0,,,,,
BX9,2018-03-31 17:00:00,11.4,,,,,
BX1,2018-03-31 17:00:00,,9.7,-3.1,,,
TH4,2018-03-31 17:00:00,10.2,17.5,22.1,,,
ST5,2018-03-31 17:00:00,12.0,10.0,6.0,,,
RB7,2018-03-31 17:00:00,,11.0,9.2,,,
TD5,2018-03-31 17:00:00,8.4,,,,,
CD1,2018-03-31 18:00:00,11.0,10.9,15.3,,,
BL0,2018-03-31 18:00:00,9.9,12.7,28.1,,,
GR4,2018-03-31 18:00:00,10.8,9.7,-1.0,,,
MY7,2018-03-31 18:00:00,8.7,12.9,,,,
HV1,2018-03-31 18:00:00,12.0,11.7,7.7,,,
GN3,2018-03-31 18:00:00,10.7,11.4,12.7,,,
GR9,2018-03-31 18:00:00,9.0,11.3,11.1,,,
LW2,2018-03-31 18:00:00,5.7,12.6,18.4,,,
GN0,2018-03-31 18:00:00,10.1,15.5,11.9,,,
KF1,2018-03-31 18:00:00,8.9,10.4,,,,
CD9,2018-03-31 18:00:00,8.3,9.3,15.4,,,
CT3,2018-03-31 18:00:00,,13.6,13.6,,,
CT2,2018-03-31 18:00:00,10.0,,,,,
BX9,2018-03-31 18:00:00,11.3,,,,,
BX1,2018-03-31 18:00:00,,13.1,-0.8,,,
TH4,2018-03-31 18:00:00,10.1,17.8,22.3,,,
ST5,2018-03-31 18:00:00,7.0,8.0,4.9,,,
RB7,2018-03-31 18:00:00,,15.2,11.7,,,
TD5,2018-03-31 18:00:00,9.1,,,,,
CD1,2018-03-31 19:00:00,12.1,12.3,13.4,,,
BL0,2018-03-31 19:00:00,13.4,12.9,26.4,,,
GR4,2018-03-31 19:00:00,15.1,13.1,-1.4,,,
MY7,2018-03-31 19:00:00,9.0,13.4,,,,
HV1,2018-03-31 19:00:00,9.4,11.2,6.8,,,
GN3,2018-03-31 19:00:00,12.0,16.1,16.4,,,
GR9,2018-03-31 19:00:00,8.9,14.6,10.6,,,
LW2,2018-03-31 19:00:00,8.6,15.2,18.8,,,
GN0,2018-03-31 19:00:00,15.6,18.5,10.7,,,
KF1,2018-03-31 19:00:00,10.6,12.1,,,,
CD9,2018-03-31 19:00:00,11.2,11.9,18.4,,,
CT3,2018-03-31 19:00:00,,18.6,12.9,,,
CT2,2018-03-31 19:00:00,11.0,,,,,
BX9,2018-03-31 19:00:00,11.6,,,,,
BX1,2018-03-31 19:00:00,,14.2,-1.4,,,
TH4,2018-03-31 19:00:00,12.2,18.7,21.4,,,
ST5,2018-03-31 19:00:00,6.0,10.0,5.5,,,
RB7,2018-03-31 19:00:00,,12.4,9.4,,,
TD5,2018-03-31 19:00:00,11.2,,,,,
CD1,2018-03-31 20:00:00,11.2,13.6,17.6,,,
BL0,2018-03-31 20:00:00,7.1,12.4,25.1,,,
GR4,2018-03-31 20:00:00,9.8,12.5,-1.1,,,
MY7,2018-03-31 20:00:00,11.4,11.3,,,,
HV1,2018-03-31 20:00:00,9.2,10.4,8.3,,,
GN3,2018-03-31 20:00:00,12.2,15.2,14.8,,,
GR9,2018-03-31 20:00:00,9.9,14.3,11.3,,,
LW2,2018-03-31 20:00:00,15.4,17.9,28.7,,,
GN0,2018-03-31 20:00:00,13.2,15.1,13.4,,,
KF1,2018-03-31 20:00:00,10.5,11.9,,,,
CD9,2018-03-31 20:00:00,12.6,12.8,14.9,,,
CT3,2018-03-31 20:00:00,,17.0,12.0,,,
CT2,2018-03-31 20:00:00,16.0,,,,,
BX9,2018-03-31 20:00:00,13.9,,,,,
BX1,2018-03-31 20:00:00,,11.7,-2.0,,,
TH4,2018-03-31 20:00:00,13.0,22.0,28.8,,,
ST5,2018-03-31 20:00:00,10.0,9.0,7.1,,,
RB7,2018-03-31 20:00:00,,8.6,10.3,,,
TD5,2018-03-31 20:00:00,12.4,,,,,
CD1,2018-03-31 21:00:00,9.7,13.2,25.2,,,
BL0,2018-03-31 21:00:00,9.7,11.5,33.3,,,
GR4,2018-03-31 21:00:00,13.0,12.3,-0.1,,,
MY7,2018-03-31 21:00:00,11.5,9.8,,,,
HV1,2018-03-31 21:00:00,10.0,10.8,9.2,,,
GN3,2018-03-31 21:00:00,12.5,14.6,17.4,,,
GR9,2018-03-31 21:00:00,8.1,11.2,14.3,,,
LW2,2018-03-31 21:00:00,12.3,14.5,29.7,,,
GN0,2018-03-31 21:00:00,13.1,18.9,29.9,,,
KF1,2018-03-31 21:00:00,9.3,11.0,,,,
CD9,2018-03-31 21:00:00,7.1,8.2,17.5,,,
CT3,2018-03-31 21:00:00,,16.2,12.3,,,
CT2,2018-03-31 21:00:00,12.0,,,,,
BX9,2018-03-31 21:00:00,13.6,,,,,
BX1,2018-03-31 21:00:00,,12.0,-0.8,,,
TH4,2018-03-31 21:00:00,9.2,19.7,30.3,,,
ST5,2018-03-31 21:00:00,10.0,13.0,8.9,,,
RB7,2018-03-31 21:00:00,,12.0,12.9,,,
TD5,2018-03-31 21:00:00,10.0,,,,,
CD1,2018-03-31 22:00:00,11.1,12.8,33.5,,,
BL0,2018-03-31 22:00:00,6.7,11.2,31.2,,,
GR4,2018-03-31 22:00:00,10.1,9.7,0.7,,,
MY7,2018-03-31 22:00:00,8.0,12.9,,,,
HV1,2018-03-31 22:00:00,7.7,9.2,10.7,,,
GN3,2018-03-31 22:00:00,10.7,12.2,25.9,,,
GR9,2018-03-31 22:00:00,6.6,12.2,17.4,,,
LW2,2018-03-31 22:00:00,10.2,14.1,36.3,,,
GN0,2018-03-31 22:00:00,11.9,13.1,31.8,,,
KF1,2018-03-31 22:00:00,8.8,10.3,,,,
CD9,2018-03-31 22:00:00,12.0,13.2,29.8,,,
CT3,2018-03-31 22:00:00,,14.4,13.7,,,
CT2,2018-03-31 22:00:00,11.0,,,,,
BX9,2018-03-31 22:00:00,11.1,,,,,
BX1,2018-03-31 22:00:00,,9.0,2.9,,,
TH4,2018-03-31 22:00:00,11.5,18.4,34.2,,,
ST5,2018-03-31 22:00:00,7.0,10.0,10.8,,,
RB7,2018-03-31 22:00:00,,12.2,13.4,,,
TD5,2018-03-31 22:00:00,9.6,,,,,
CD1,2018-03-31 23:00:00,11.0,14.8,37.7,,,
BL0,2018-03-31 23:00:00,7.3,12.1,38.6,,,
GR4,2018-03-31 23:00:00,9.8,10.5,1.9,,,
MY7,2018-03-31 23:00:00,5.7,12.5,,,,
HV1,2018-03-31 23:00:00,10.9,11.0,9.4,,,
GN3,2018-03-31 23:00:00,10.3,11.5,21.6,,,
GR9,2018-03-31 23:00:00,8.2,13.3,19.6,,,
LW2,2018-03-31 23:00:00,12.0,11.4,39.1,,,
GN0,2018-03-31 23:00:00,9.4,17.2,39.6,,,
KF1,2018-03-31 23:00:00,9.0,10.6,,,,
CD9,2018-03-31 23:00:00,12.0,12.8,23.7,,,
CT3,2018-03-31 23:00:00,,23.6,16.7,,,
CT2,2018-03-31 23:00:00,9.0,,,,,
BX9,2018-03-31 23:00:00,12.4,,,,,
BX1,2018-03-31 23:00:00,,10.3,4.7,,,
TH4,2018-03-31 23:00:00,12.7,19.0,41.1,,,
ST5,2018-03-31 23:00:00,12.0,13.0,13.8,,,
RB7,2018-03-31 23:00:00,,10.4,11.7,,,
TD5,2018-03-31 23:00:00,8.7,,,,,
CD1,2018-04-01 00:00:00,10.9,15.3,44.4,,,
BL0,2018-04-01 00:00:00,7.3,9.5,36.7,,,
GR4,2018-04-01 00:00:00,14.8,8.6,3.6,,,
MY7,2018-04-01 00:00:00,11.6,12.3,,,,
HV1,2018-04-01 00:00:00,7.8,9.0,9.5,,,
GN3,2018-04-01 00:00:00,10.7,13.2,21.6,,,
GR9,2018-04-01 00:00:00,7.5,14.5,19.4,,,
LW2,2018-04-01 00:00:00,12.8,12.6,41.5,,,
GN0,2018-04-01 00:00:00,12.0,18.6,42.8,,,
KF1,2018-04-01 00:00:00,8.2,10.0,,,,
CD9,2018-04-01 00:00:00,10.8,12.8,37.7,,,
CT3,2018-04-01 00:00:00,,13.6,16.0,,,
CT2,2018-04-01 00:00:00,11.0,,,,,
BX9,2018-04-01 00:00:00,9.2,,,,,
BX1,2018-04-01 00:00:00,,9.6,2.1,,,
TH4,2018-04-01 00:00:00,11.6,22.8,48.8,,,
ST5,2018-04-01 00:00:00,12.0,15.0,12.2,,,
RB7,2018-04-01 00:00:00,,10.0,14.9,,,
TD5,2018-04-01 00:00:00,7.2,,,,,
CD1,2018-04-01 01:00:00,10.6,13.5,49.0,,,
BL0,2018-04-01 01:00:00,6.9,11.7,42.5,,,
GR4,2018-04-01 01:00:00,6.1,14.7,5.5,,,
MY7,2018-04-01 01:00:00,8.8,12.4,,,,
HV1,2018-04-01 01:00:00,15.6,16.2,11.8,,,
GN3,2018-04-01 01:00:00,11.5,13.4,23.2,,,
GR9,2018-04-01 01:00:00,10.4,16.7,23.7,,,
LW2,2018-04-01 01:00:00,6.8,14.2,43.3,,,
GN0,2018-04-01 01:00:00,11.8,22.8,45.1,,,
KF1,2018-04-01 01:00:00,6.9,8.3,,,,
CD9,2018-04-01 01:00:00,12.1,14.7,38.9,,,
CT3,2018-04-01 01:00:00,,18.2,15.4,,,
CT2,2018-04-01 01:00:00,8.0,,,,,
BX9,2018-04-01 01:00:00,12.2,,,,,
BX1,2018-04-01 01:00:00,,11.8,5.0,,,
TH4,2018-04-01 01:00:00,11.4,23.8,53.0,,,
ST5,2018-04-01 01:00:00,9.0,10.0,11.2,,,
RB7,2018-04-01 01:00:00,,8.0,15.3,,,
TD5,2018-04-01 01:00:00,7.5,,,,,
CD1,2018-04-01 02:00:00,11.4,18.5,60.0,,,
BL0,2018-04-01 02:00:00,6.8,9.8,35.0,,,
GR4,2018-04-01 02:00:00,8.3,9.1,5.4,,,
MY7,2018-04-01 02:00:00,8.7,9.7,,,,
HV1,2018-04-01 02:00:00,7.1,10.4,13.9,,,
GN3,2018-04-01 02:00:00,11.7,14.0,25.8,,,
GR9,2018-04-01 02:00:00,11.3,17.5,30.4,,,
LW2,2018-04-01 02:00:00,13.4,15.6,43.3,,,
GN0,2018-04-01 02:00:00,11.9,18.7,52.9,,,
KF1,2018-04-01 02:00:00,6.7,8.2,,,,
CD9,2018-04-01 02:00:00,13.8,15.2,45.5,,,
CT3,2018-04-01 02:00:00,,18.8,14.7,,,
CT2,2018-04-01 02:00:00,12.0,,,,,
BX9,2018-04-01 02:00:00,9.8,,,,,
BX1,2018-04-01 02:00:00,,11.1,4.6,,,
TH4,2018-04-01 02:00:00,11.7,23.0,52.4,,,
ST5,2018-04-01 02:00:00,12.0,10.0,13.5,,,
RB7,2018-04-01 02:00:00,,6.2,13.6,,,
TD5,2018-04-01 02:00:00,7.9,,,,,
CD1,2018-04-01 03:00:00,13.8,16.0,65.3,,,
BL0,2018-04-01 03:00:00,7.1,11.9,34.4,,,
GR4,2018-04-01 03:00:00,11.7,9.9,7.2,,,
MY7,2018-04-01 03:00:00,8.0,11.1,,,,
HV1,2018-04-01 03:00:00,8.7,11.1,17.4,,,
GN3,2018-04-01 03:00:00,10.2,15.7,40.6,,,
GR9,2018-04-01 03:00:00,7.5,16.1,30.5,,,
LW2,2018-04-01 03:00:00,10.7,10.3,46.1,,,
GN0,2018-04-01 03:00:00,12.8,14.2,32.5,,,
KF1,2018-04-01 03:00:00,6.5,7.9,,,,
CD9,2018-04-01 03:00:00,10.9,13.0,47.5,,,
CT3,2018-04-01 03:00:00,,17.0,21.0,,,
CT2,2018-04-01 03:00:00,9.0,,,,,
BX9,2018-04-01 03:00:00,10.8,,,,,
BX1,2018-04-01 03:00:00,,11.2,4.7,,,
TH4,2018-04-01 03:00:00,10.7,24.2,65.7,,,
ST5,2018-04-01 03:00:00,9.0,7.0,13.8,,,
RB7,2018-04-01 03:00:00,,6.0,18.8,,,
TD5,2018-04-01 03:00:00,9.1,,,,,
CD1,2018-04-01 04:00:00,10.8,11.7,51.6,,,
BL0,2018-04-01 04:00:00,10.9,12.1,36.5,,,
GR4,2018-04-01 04:00:00,8.0,12.2,10.9,,,
MY7,2018-04-01 04:00:00,10.0,12.9,,,,
HV1,2018-04-01 04:00:00,8.2,13.8,35.1,,,
GN3,2018-04-01 04:00:00,11.5,16.0,39.5,,,
GR9,2018-04-01 04:00:00,10.1,15.9,35.8,,,
LW2,2018-04-01 04:00:00,10.2,10.7,34.8,,,
GN0,2018-04-01 04:00:00,11.9,11.1,27.2,,,
KF1,2018-04-01 04:00:00,6.0,7.6,,,,
CD9,2018-04-01 04:00:00,13.7,15.6,58.7,,,
CT3,2018-04-01 04:00:00,,15.2,26.0,,,
CT2,2018-04-01 04:00:00,10.0,,,,,
BX9,2018-04-01 04:00:00,9.9,,,,,
BX1,2018-04-01 04:00:00,,12.7,7.9,,,
TH4,2018-04-01 04:00:00,12.4,20.3,71.4,,,
ST5,2018-04-01 04:00:00,8.0,12.0,15.0,,,
RB7,2018-04-01 04:00:00,,9.8,20.1,,,
TD5,2018-04-01 04:00:00,5.9,,,,,
CD1,2018-04-01 05:00:00,10.1,12.3,48.9,,,
BL0,2018-04-01 05:00:00,5.2,8.0,34.2,,,
GR4,2018-04-01 05:00:00,10.9,13.6,12.1,,,
MY7,2018-04-01 05:00:00,13.2,11.9,,,,
HV1,2018-04-01 05:00:00,11.6,15.3,37.7,,,
GN3,2018-04-01 05:00:00,11.1,16.7,46.4,,,
GR9,2018-04-01 05:00:00,10.0,17.8,42.9,,,
LW2,2018-04-01 05:00:00,12.0,10.4,33.9,,,
GN0,2018-04-01 05:00:00,9.8,14.8,30.2,,,
KF1,2018-04-01 05:00:00,6.5,8.1,,,,
CD9,2018-04-01 05:00:00,12.7,16.8,81.3,,,
CT3,2018-04-01 05:00:00,,15.8,31.5,,,
CT2,2018-04-01 05:00:00,11.0,,,,,
BX9,2018-04-01 05:00:00,11.4,,,,,
BX1,2018-04-01 05:00:00,,12.5,10.6,,,
TH4,2018-04-01 05:00:00,10.6,26.7,58.3,,,
ST5,2018-04-01 05:00:00,7.0,8.0,16.3,,,
RB7,2018-04-01 05:00:00,,8.6,22.8,,,
TD5,2018-04-01 05:00:00,6.6,,,,,
CD1,2018-04-01 06:00:00,10.0,11.1,45.5,,,
BL0,2018-04-01 06:00:00,6.0,9.8,38.1,,,
GR4,2018-04-01 06:00:00,9.0,13.8,10.6,,,
MY7,2018-04-01 06:00:00,8.5,13.2,,,,
HV1,2018-04-01 06:00:00,8.6,12.2,30.1,,,
GN3,2018-04-01 06:00:00,12.3,15.1,42.2,,,
GR9,2018-04-01 06:00:00,8.3,15.8,34.8,,,
LW2,2018-04-01 06:00:00,13.0,10.5,38.6,,,
GN0,2018-04-01 06:00:00,14.5,15.9,38.9,,,
KF1,2018-04-01 06:00:00,6.5,8.0,,,,
CD9,2018-04-01 06:00:00,15.9,23.9,90.8,,,
CT3,2018-04-01 06:00:00,,13.6,34.0,,,
CT2,2018-04-01 06:00:00,11.0,,,,,
BX9,2018-04-01 06:00:00,11.0,,,,,
BX1,2018-04-01 06:00:00,,12.7,9.9,,,
TH4,2018-04-01 06:00:00,12.1,26.3,56.7,,,
ST5,2018-04-01 06:00:00,6.0,14.0,17.3,,,
RB7,2018-04-01 06:00:00,,9.8,24.2,,,
TD5,2018-04-01 06:00:00,10.4,,,,,
CD1,2018-04-01 07:00:00,12.8,16.6,63.6,,,
BL0,2018-04-01 07:00:00,12.6,13.6,47.4,,,
GR4,2018-04-01 07:00:00,9.4,13.1,7.4,,,
MY7,2018-04-01 07:00:00,12.6,17.4,,,,
